ID PARTE ALTERNO,ID DESTINO,NOMBRE DE DESTINO,SNP
748233BH A000,NAC000001,HONDA DE MEXICO,90
748233W0 A000,NAC000001,HONDA DE MEXICO,90
748243BH A000,NAC000001,HONDA DE MEXICO,90
748733BH A000,NAC000001,HONDA DE MEXICO,90
DGH9 33 261,NAC000005,MAZDA MOTOR MANUFACTURING DE MEXICO,40
DGH9 33 271,NAC000005,MAZDA MOTOR MANUFACTURING DE MEXICO,40
BDTS 34 350 F,NAC000005,MAZDA MOTOR MANUFACTURING DE MEXICO,44
BACS33271,NAC000005,MAZDA MOTOR MANUFACTURING DE MEXICO,34
BDTS 34 300 F,NAC000005,MAZDA MOTOR MANUFACTURING DE MEXICO,44
BACS33261,NAC000005,MAZDA MOTOR MANUFACTURING DE MEXICO,34
111105RB1A,NAC000007,"NISSAN MEXICANA, AGS MOTOR",240
111106LB0B,NAC000007,"NISSAN MEXICANA, AGS MOTOR",216
111103HC1A,NAC000007,"NISSAN MEXICANA, AGS MOTOR",360
465035JJ1A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",64
545254KH0A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",72
551104KH9B,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",90
545004KH5A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",54
465015JJ1A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",64
465015JJ1C,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",64
545014KH5A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",54
552204KH0A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",32
112324JM0A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",360
545244KH0A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",72
551304KH0B,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",120
465015JJ1B,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",64
112334JM0A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",360
112844JM0B,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",250
551204KH9C,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",140
550544KH0A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",648
112334JL0A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",180
545005JP1B,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",36
546144KH0A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",3072
465035JJ1B,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",64
545015JP1B,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",36
465035JY1D,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",64
112324JL0A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",180
552214KH0A,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",3024
8521265Y00,NAC000008,"NISSAN MEXICANA, PLANTA CIVAC",200
545014KH5A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
545014KH4A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
545004KH5A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
545244KH0A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
545254KH0A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
54400EM30B,NAC000009,"NISSAN MEXICANA, TOLUCA",1
111103HC1A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
54501EL00D,NAC000009,"NISSAN MEXICANA, TOLUCA",1
111106LB0B,NAC000009,"NISSAN MEXICANA, TOLUCA",1
546144KH0A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
465015JJ1A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
552204KH0A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
551304KH0B,NAC000009,"NISSAN MEXICANA, TOLUCA",1
551104KH9B,NAC000009,"NISSAN MEXICANA, TOLUCA",1
111105RB1A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
112324JL0A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
112334JM0A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
465035JJ1B,NAC000009,"NISSAN MEXICANA, TOLUCA",1
4016050Y02,NAC000009,"NISSAN MEXICANA, TOLUCA",1
465015JJ1B,NAC000009,"NISSAN MEXICANA, TOLUCA",1
465035JJ1A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
550544KH0A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
551204KH9C,NAC000009,"NISSAN MEXICANA, TOLUCA",1
545004KH4A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
552214KH0A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
54500EL00D,NAC000009,"NISSAN MEXICANA, TOLUCA",1
54400EL00B,NAC000009,"NISSAN MEXICANA, TOLUCA",1
54500F4210,NAC000009,"NISSAN MEXICANA, TOLUCA",1
54501F4210,NAC000009,"NISSAN MEXICANA, TOLUCA",1
551204KH9A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
551304KH0A,NAC000009,"NISSAN MEXICANA, TOLUCA",1
54401F4300,NAC000009,"NISSAN MEXICANA, TOLUCA",1
5456050Y00,NAC000009,"NISSAN MEXICANA, TOLUCA",1
546144KH0A,NAC000011,"NISSAN MEXICANA, PCC",840
5QV.505.223,NAC000013,VOLKSWAGEN DE MEXICO,780
5QV.505.224,NAC000013,VOLKSWAGEN DE MEXICO,780
5QV.505.311,NAC000013,VOLKSWAGEN DE MEXICO,1596
5QM.505.311.A,NAC000013,VOLKSWAGEN DE MEXICO,672
06J103600AM,NAC000014,VOLKSWAGEN DE MEXICO SA DE CV,192
54403 6LB0AY,NAC000015,YOROZU MEXICANA,20
544086LT0B,NAC000015,YOROZU MEXICANA,38
551245NA2B,NAC000015,YOROZU MEXICANA,250
5C0.615.611.B,NAC000015,YOROZU MEXICANA,10
551245NA3B,NAC000015,YOROZU MEXICANA,250
5C0.615.612.B,NAC000015,YOROZU MEXICANA,10
50200T7J0130,NAC000229,HONDA DE MEXICO,1
51350T7WA500,NAC000229,HONDA DE MEXICO,1
51350T8MG000,NAC000229,HONDA DE MEXICO,1
51352T7T M500,NAC000229,HONDA DE MEXICO,1
51360T5NM010,NAC000229,HONDA DE MEXICO,1
51360T7WA000,NAC000229,HONDA DE MEXICO,1
51360T7WA500,NAC000229,HONDA DE MEXICO,1
51360T7WG000,NAC000229,HONDA DE MEXICO,1
51362T7T M500,NAC000229,HONDA DE MEXICO,1
51350T7WG000,NAC000229,HONDA DE MEXICO,1
51360T5RA010,NAC000229,HONDA DE MEXICO,1
51350T7WA000,NAC000229,HONDA DE MEXICO,1
51360T7TM500,NAC000229,HONDA DE MEXICO,1
50200T5RA010M1,NAC000229,HONDA DE MEXICO,1
50200T7A0230,NAC000229,HONDA DE MEXICO,1
50200T7X0030,NAC000229,HONDA DE MEXICO,1
50200TFS0030,NAC000229,HONDA DE MEXICO,1
50690T7W0000,NAC000229,HONDA DE MEXICO,1
51350T5NM010,NAC000229,HONDA DE MEXICO,1
51350T7TM500,NAC000229,HONDA DE MEXICO,1
42100T7XA000,NAC000229,HONDA DE MEXICO,1
50200T5R0030,NAC000229,HONDA DE MEXICO,1
50200T5RP010M1,NAC000229,HONDA DE MEXICO,1
50200T7W0030,NAC000229,HONDA DE MEXICO,1
50200T7WP010M1,NAC000229,HONDA DE MEXICO,1
42100T7XA500,NAC000229,HONDA DE MEXICO,1
51360T8MG000,NAC000229,HONDA DE MEXICO,1
51350T5RA010,NAC000229,HONDA DE MEXICO,1
51352T7W A000,NAC000229,HONDA DE MEXICO,1
51352T7W G000,NAC000229,HONDA DE MEXICO,1
51362T7W A000,NAC000229,HONDA DE MEXICO,1
51352T7W G100,NAC000229,HONDA DE MEXICO,1
51362T7W G100,NAC000229,HONDA DE MEXICO,1
748733BH A000,NAC000229,HONDA DE MEXICO,1
748233BH A000,NAC000229,HONDA DE MEXICO,1
748243BH A000,NAC000229,HONDA DE MEXICO,1
DA7R33261,NAC000427,HIROTEC MEXICO,60
DA7R33271,NAC000427,HIROTEC MEXICO,60
545254KH0A,NAC000648,NISSAN MEXICANA  REFACCIONES DSP A2,1
545014KH5A,NAC000648,NISSAN MEXICANA  REFACCIONES DSP A2,1
545004KH5A,NAC000648,NISSAN MEXICANA  REFACCIONES DSP A2,1
545014KH4A,NAC000648,NISSAN MEXICANA  REFACCIONES DSP A2,1
545244KH0A,NAC000648,NISSAN MEXICANA  REFACCIONES DSP A2,1
551204KH9C,NAC000648,NISSAN MEXICANA  REFACCIONES DSP A2,1
111105RB1A,NAC000648,NISSAN MEXICANA  REFACCIONES DSP A2,1
545004KH4A,NAC000648,NISSAN MEXICANA  REFACCIONES DSP A2,1
54400EM30B,NAC000648,NISSAN MEXICANA  REFACCIONES DSP A2,1
